숙소명,숙소유형,위치,평점,가격
노보텔 앰배서더 강남,5성급 호텔,신논현역 4번출구 도보 5분,4.5 (914),"231,000원"
호텔 리베라 청담,4성급 호텔,"청담역 12,13번 출구에서 도보 5분",4.4,"178,000원"
호텔 소울하다,2성급 호텔,강남역 1번 출구 도보 5분 (1km),4.4 (682),"100,000원"
역삼아르누보호텔,호텔,역삼역 7번 출구 600m,4.5,"185,990원"
글래드 강남 코엑스센터,3성급 호텔,삼성역 1번출구 도보 1분,4.6,"275,000원"
그랜드머큐어 임피리얼팰리스 서울 강남,프리미엄 호텔,강남구 논현2동,4.7 (135),"302,500원"
카파스 호텔,2성급 호텔,역삼역 1번출구 도보 4분,4.4 (878),"121,800원"
신라스테이 삼성,4성급 호텔,삼성역 7번출구 도보 1분,4.5,가격 정보 없음
신라스테이 서초,4성급 호텔,"강남역,양재역 도보 10분",4.7,"202,800원"
호텔 인 나인 강남,4성급 호텔,봉은사역 3번출구 앞,4.6,"171,800원"
