이름,유형,위치,평점,가격
호텔 리베라,4성급,강남구 청담역 도보 5분,9.0,"176,000원/1박"
힐튼 가든인 서울 강남,4성급,서초구 양재역 도보 1분,9.6,"쿠폰 적용시 298,880원/1박"
UH 플랫 시그니처 강남,레지던스,강남구 강남역 도보 6분,9.6,"242,141원/1박"
선릉 어반네스트,모텔,선릉역 도보 2분,8.9,"쿠폰 적용시 126,222원/1박"
호텔 더 디자이너스 리즈 스윗 역삼,레지던스,강남구 역삼역 도보 5분,9.6,"296,666원/1박"
엘리에나 호텔 서울 강남,4성급,강남구 학동역 도보 4분,9.5,"373,144원/1박"
라까사호텔 서울,3성급,강남구 가로수길 도보10분,9.1,"157,711원/1박"
역삼 아르누보씨티 호텔&레지던스,비즈니스,강남구 역삼역 도보 5분,8.6,"151,101원/1박"
호텔 그라모스,2성급,강남구 역삼역 도보 5분,9.0,"148,333원/1박"
오크우드 프리미어 코엑스센터,블랙,강남구 봉은사역 도보 3분,9.7,"603,259원/1박"
야코리아 호스텔 강남점,게스트하우스,강남구 선릉역 도보 9분,8.7,"29,666원/1박"
역삼 아르누보씨티 호텔앤레지던스,모텔,선릉역 도보 7분,9.0,"151,101원/1박"
호텔 카파스,2성급,강남구 역삼역 도보 4분,8.8,"220,022원/1박"
